Date,Close,High,Low,Open,Last_Close,Delta,Delta_Pct,Count,Value,,,,,,,
6/26/2017,3185.4439,3187.8891,3156.9767,3157.0022,3157.873,27.5709,0.8731,173579211,2.00E+11,,,,,,,
6/23/2017,3157.873,3158.0474,3118.0946,3138.4441,3147.4532,10.4198,0.3311,154843648,1.76E+11,,,,,,,
6/22/2017,3147.4532,3186.9823,3146.6432,3152.2424,3156.2118,-8.7586,-0.2775,191344006,2.20E+11,,,,,,,
6/21/2017,3156.2118,3157.0275,3132.6173,3148.9861,3140.0136,16.1982,0.5159,136688268,1.67E+11,,,,,,,
6/20/2017,3140.0136,3150.4646,3134.6106,3148.0187,3144.3739,-4.3603,-0.1387,141191802,1.62E+11,,,,,,,
6/19/2017,3144.3739,3146.7703,3121.7787,3122.1578,3123.1662,21.2077,0.679,134891758,1.52E+11,,,,,,,
6/16/2017,3123.1662,3134.2511,3117.8567,3126.3728,3132.4863,-9.3201,-0.2975,129652758,1.49E+11,,,,,,,
6/15/2017,3132.4863,3137.5854,3117.084,3125.5865,3130.674,1.8123,0.0579,146954245,1.71E+11,,,,,,,
6/14/2017,3130.674,3149.1731,3125.3546,3146.748,3153.7429,-23.0689,-0.7315,138347042,1.61E+11,,,,,,,
6/13/2017,3153.7429,3155.9895,3131.0431,3134.0089,3139.8766,13.8663,0.4416,128318279,1.48E+11,,,,,,,
6/12/2017,3139.8766,3164.9502,3135.314,3149.5266,3158.4004,-18.5238,-0.5865,146729425,1.70E+11,,,,,,,
6/9/2017,3158.4004,3165.9197,3146.1075,3147.4533,3150.3336,8.0668,0.2561,160136334,1.82E+11,,,,,,,
6/8/2017,3150.3336,3153.2635,3132.8278,3136.4705,3140.3249,10.0087,0.3187,152277659,1.79E+11,,,,,,,
6/7/2017,3140.3249,3140.7743,3098.9508,3101.7608,3102.126,38.1989,1.2314,173229014,1.94E+11,,,,,,,
6/6/2017,3102.126,3102.8633,3078.7872,3084.5401,3091.6561,10.4699,0.3387,113439963,1.28E+11,,,,,,,
6/5/2017,3091.6561,3105.5056,3084.8301,3102.1095,3105.54,-13.8839,-0.4471,132570300,1.43E+11,,,,,,,
6/2/2017,3105.54,3110.3891,3081.8485,3094.2253,3102.6232,2.9168,0.094,142504925,1.54E+11,,,,,,,
6/1/2017,3102.6232,3113.5212,3097.6794,3108.4214,3117.1778,-14.5546,-0.4669,163015719,1.81E+11,,,,,,,
5/31/2017,3117.1778,3143.2787,3111.5563,3125.3252,3110.0587,7.1191,0.2289,152950430,1.78E+11,,,,,,,
5/26/2017,3110.0587,3120.6627,3100.3877,3101.2864,3107.8311,2.2276,0.0717,155923486,1.71E+11,,,,,,,
5/25/2017,3107.8311,3114.6578,3052.8309,3055.3425,3064.0759,43.7552,1.428,191391841,2.02E+11,,,,,,,
5/24/2017,3064.0759,3064.8127,3022.3026,3047.5681,3061.947,2.1289,0.0695,139813353,1.53E+11,,,,,,,
